id,category,section,text,level1,level2,level3,tags,difficulty
souron_ch9_001,総論第9章,鑑定評価報告書,"鑑定評価報告書は、不動産の鑑定評価の成果を記載した文書であり",成果を記載した文書,成果|文書,成果を記載した文書,総論9章|鑑定評価報告書|重要,1
souron_ch9_002,総論第9章,鑑定評価報告書,"不動産鑑定士が自己の専門的学識と経験に基づいた判断と意見を表明し、その責任を明らかにすることを目的とするものである。",専門的学識と経験,判断と意見を表明|責任を明らかに,専門的学識|経験|判断と意見を表明|責任を明らかに,総論9章|鑑定評価報告書|重要,1
souron_ch9_003,総論第9章,作成指針,"鑑定評価報告書は、鑑定評価の基本的事項及び鑑定評価額を表し、鑑定評価額を決定した理由を説明し、その不動産の鑑定評価に関与した不動産鑑定士の責任の所在を示すことを主旨とするものであるから",責任の所在,鑑定評価額を表し|理由を説明し|責任の所在,基本的事項|鑑定評価額|理由を説明|責任の所在,総論9章|作成指針|重要,1
souron_ch9_004,総論第9章,作成指針,"鑑定評価報告書の作成に当たっては、まずその鑑定評価の過程において採用したすべての資料を整理し",すべての資料,鑑定評価の過程|すべての資料,鑑定評価の過程|すべての資料を整理,総論9章|作成指針,1
souron_ch9_005,総論第9章,作成指針,"価格形成要因に関する判断、鑑定評価の手法の適用に係る判断等に関する事項を明確にして、これに基づいて作成すべきである。",価格形成要因に関する判断,鑑定評価の手法の適用に係る判断|明確に,価格形成要因に関する判断|鑑定評価の手法の適用に係る判断|明確に,総論9章|作成指針|重要,1
souron_ch9_006,総論第9章,作成指針,"鑑定評価報告書の内容は、不動産鑑定業者が依頼者に交付する鑑定評価書の実質的な内容となるものである。",鑑定評価書の実質的な内容,依頼者に交付|鑑定評価書の実質的な内容,依頼者に交付|鑑定評価書|実質的な内容,総論9章|作成指針|重要,1
souron_ch9_007,総論第9章,作成指針,"したがって、鑑定評価報告書は、鑑定評価書を通じて依頼者のみならず第三者に対しても影響を及ぼすものであり",依頼者のみならず第三者,依頼者のみならず第三者に対しても影響,依頼者のみならず|第三者|影響,総論9章|作成指針|重要,1
souron_ch9_008,総論第9章,作成指針,"さらには不動産の適正な価格の形成の基礎となるものであるから",適正な価格の形成の基礎,適正な価格の形成の基礎,適正な価格の形成の基礎,総論9章|作成指針|重要,1
souron_ch9_009,総論第9章,作成指針,"その作成に当たっては、誤解の生ずる余地を与えないよう留意するとともに",誤解の生ずる余地を与えない,誤解の生ずる余地を与えないよう留意,誤解の生ずる余地を与えないよう留意,総論9章|作成指針,1
souron_ch9_010,総論第9章,作成指針,"特に鑑定評価額の決定の理由については、依頼者のみならず第三者に対して十分に説明し得るものとするように努めなければならない。",依頼者のみならず第三者に対して十分に説明,依頼者のみならず第三者|十分に説明,依頼者のみならず|第三者|十分に説明し得る,総論9章|作成指針|重要,1
souron_ch9_011,総論第9章,記載事項,"鑑定評価報告書には、少なくともⅠからⅫまでに掲げる事項について、それぞれに定めるところに留意して記載しなければならない。",Ⅰ から Ⅻ,少なくとも|ⅠからⅫ,少なくとも|ⅠからⅫ|留意して記載,総論9章|記載事項|重要,1
souron_ch9_012,総論第9章,記載事項Ⅰ,"Ⅰ 鑑定評価額及び価格又は賃料の種類",鑑定評価額及び価格又は賃料の種類,,鑑定評価額|価格又は賃料の種類,総論9章|記載事項|重要,1
souron_ch9_013,総論第9章,記載事項Ⅰ,"正常価格又は正常賃料を求めることができる不動産について、依頼目的に対応した条件により限定価格、特定価格又は限定賃料を求めた場合は",限定価格|特定価格|限定賃料,正常価格|限定価格|特定価格|限定賃料,正常価格|限定価格|特定価格|限定賃料,総論9章|記載事項Ⅰ|重要,2
souron_ch9_014,総論第9章,記載事項Ⅰ,"かっこ書きで正常価格又は正常賃料である旨を付記してそれらの額を併記しなければならない。",かっこ書きで|付記して|併記,かっこ書き|付記|併記,かっこ書きで|正常価格|正常賃料|付記|併記,総論9章|記載事項Ⅰ|重要,2
souron_ch9_015,総論第9章,記載事項Ⅰ,"また、総論第７章第２節Ⅰ１．に定める支払賃料の鑑定評価を依頼された場合における鑑定評価額の記載は、支払賃料である旨を付記して支払賃料の額を表示するとともに",支払賃料,支払賃料である旨を付記|表示,支払賃料|付記|表示,総論9章|記載事項Ⅰ,2
souron_ch9_016,総論第9章,記載事項Ⅰ,"当該支払賃料が実質賃料と異なる場合においては、かっこ書きで実質賃料である旨を付記して実質賃料の額を併記するものとする。",実質賃料|かっこ書き,実質賃料|かっこ書き|併記,支払賃料|実質賃料|異なる場合|かっこ書き|併記,総論9章|記載事項Ⅰ,2
souron_ch9_017,総論第9章,記載事項Ⅱ,"Ⅱ 鑑定評価の条件",鑑定評価の条件,,鑑定評価の条件,総論9章|記載事項|重要,1
souron_ch9_018,総論第9章,記載事項Ⅱ,"対象確定条件、依頼目的に応じ設定された地域要因若しくは個別的要因についての想定上の条件又は調査範囲等条件についてそれらの条件の内容及び評価における取扱いが妥当なものであると判断した根拠を明らかにするとともに",想定上の条件|調査範囲等条件,対象確定条件|想定上の条件|調査範囲等条件,対象確定条件|想定上の条件|調査範囲等条件|判断した根拠,総論9章|記載事項Ⅱ|重要,2
souron_ch9_019,総論第9章,記載事項Ⅱ,"必要があると認められるときは、当該条件が設定されない場合の価格等の参考事項を記載すべきである。",参考事項,条件が設定されない場合の価格等の参考事項,条件が設定されない場合|参考事項,総論9章|記載事項Ⅱ,2
souron_ch9_020,総論第9章,記載事項Ⅲ,"Ⅲ 対象不動産の所在、地番、地目、家屋番号、構造、用途、数量等及び対象不動産に係る権利の種類",所在|地番|地目,家屋番号|構造|用途|数量,所在|地番|地目|家屋番号|構造|用途|数量|権利の種類,総論9章|記載事項Ⅲ|重要,1
souron_ch9_021,総論第9章,記載事項Ⅳ,"Ⅳ 対象不動産の確認に関する事項",対象不動産の確認に関する事項,,対象不動産の確認に関する事項,総論9章|記載事項|重要,1
souron_ch9_022,総論第9章,記載事項Ⅳ,"対象不動産の物的確認及び権利の態様の確認について、確認資料と照合した結果を明確に記載しなければならない。",確認資料と照合した結果,物的確認|権利の態様の確認|確認資料と照合した結果,物的確認|権利の態様の確認|確認資料|照合した結果|明確に記載,総論9章|記載事項Ⅳ|重要,1
souron_ch9_023,総論第9章,記載事項Ⅳ,"また、後日対象不動産の現況把握に疑義が生ずる場合があることを考慮して、以下の事項を合わせて記載しなければならない。",後日|疑義が生ずる,後日|疑義が生ずる場合,後日|現況把握に疑義|以下の事項を記載,総論9章|記載事項Ⅳ,2
souron_ch9_024,総論第9章,記載事項Ⅳ,"１．実地調査を行った年月日",実地調査を行った年月日,,実地調査を行った年月日,総論9章|記載事項Ⅳ|重要,1
souron_ch9_025,総論第9章,記載事項Ⅳ,"２．実地調査を行った不動産鑑定士の氏名",実地調査を行った不動産鑑定士の氏名,,実地調査を行った不動産鑑定士の氏名,総論9章|記載事項Ⅳ|重要,1
souron_ch9_026,総論第9章,記載事項Ⅳ,"３．立会人の氏名及び職業",立会人の氏名及び職業,,立会人の氏名及び職業,総論9章|記載事項Ⅳ|重要,1
souron_ch9_027,総論第9章,記載事項Ⅳ,"４．実地調査を行った範囲（内覧の実施の有無を含む。）",実地調査を行った範囲,内覧の実施の有無,実地調査を行った範囲|内覧の実施の有無,総論9章|記載事項Ⅳ|重要,1
souron_ch9_028,総論第9章,記載事項Ⅳ,"５．実地調査の一部を実施することができなかった場合にあっては、その理由",実施することができなかった場合,その理由,実施することができなかった場合|その理由,総論9章|記載事項Ⅳ,2
souron_ch9_029,総論第9章,記載事項Ⅴ,"Ⅴ 鑑定評価の依頼目的及び依頼目的に対応した条件と価格又は賃料の種類との関連",依頼目的に対応した条件,価格又は賃料の種類との関連,依頼目的|依頼目的に対応した条件|価格又は賃料の種類との関連,総論9章|記載事項Ⅴ|重要,1
souron_ch9_030,総論第9章,記載事項Ⅴ,"鑑定評価の依頼目的に対応した条件により、当該価格又は賃料を求めるべきと判断した理由を記載しなければならない。",判断した理由を記載,当該価格又は賃料を求めるべきと判断した理由,依頼目的に対応した条件|判断した理由を記載,総論9章|記載事項Ⅴ|重要,1
souron_ch9_031,総論第9章,記載事項Ⅴ,"特に、特定価格を求めた場合には法令等による社会的要請の根拠、また、特殊価格を求めた場合には文化財の指定の事実等を明らかにしなければならない。",特定価格|特殊価格,法令等による社会的要請|文化財の指定の事実,特定価格|社会的要請の根拠|特殊価格|文化財の指定の事実,総論9章|記載事項Ⅴ|重要,2
souron_ch9_032,総論第9章,記載事項Ⅵ,"Ⅵ 価格時点及び鑑定評価を行った年月日",価格時点,価格時点|鑑定評価を行った年月日,価格時点|鑑定評価を行った年月日,総論9章|記載事項Ⅵ|重要,1
souron_ch9_033,総論第9章,記載事項Ⅶ,"Ⅶ 鑑定評価額の決定の理由の要旨",鑑定評価額の決定の理由の要旨,,鑑定評価額の決定の理由の要旨,総論9章|記載事項Ⅶ|重要,1
souron_ch9_034,総論第9章,記載事項Ⅶ,"鑑定評価額の決定の理由の要旨は、下記に掲げる内容について記載するものとする。",下記に掲げる内容について記載,下記に掲げる内容,下記に掲げる内容について記載,総論9章|記載事項Ⅶ,1
souron_ch9_035,総論第9章,記載事項Ⅶ-1,"１．地域分析及び個別分析に係る事項",地域分析及び個別分析に係る事項,,地域分析及び個別分析に係る事項,総論9章|記載事項Ⅶ|重要,1
souron_ch9_036,総論第9章,記載事項Ⅶ-1,"対象不動産の種別及び類型並びに賃料の種類に応じ、同一需給圏及び近隣地域の範囲及び状況",同一需給圏|近隣地域,種別及び類型|同一需給圏|近隣地域,種別及び類型|同一需給圏|近隣地域の範囲及び状況,総論9章|記載事項Ⅶ|重要,2
souron_ch9_037,総論第9章,記載事項Ⅶ-1,"対象不動産に係る価格形成要因についての状況、同一需給圏の市場動向及び同一需給圏における典型的な市場参加者の行動",典型的な市場参加者の行動,市場動向|典型的な市場参加者の行動,価格形成要因|市場動向|典型的な市場参加者の行動,総論9章|記載事項Ⅶ|重要,2
souron_ch9_038,総論第9章,記載事項Ⅶ-1,"代替、競争等の関係にある不動産と比べた対象不動産の優劣及び競争力の程度等について記載しなければならない。",優劣及び競争力,代替|競争等の関係|優劣及び競争力,代替|競争等の関係|優劣及び競争力の程度,総論9章|記載事項Ⅶ,2
