id,category,section,text,level1,level2,level3,tags,difficulty
kakuron_001,各論,各論冒頭,"不動産鑑定士は、総論において記述したところに従い自己の専門的学識と応用能力に基づき、個々の案件に応じて不動産の鑑定評価を行うべきであるが",専門的学識と応用能力,専門的学識|応用能力,専門的学識|応用能力|個々の案件に応じて,各論|重要,1
kakuron_002,各論,各論冒頭,"具体的な案件に臨んで的確な鑑定評価を期するためには、基本的に以下に掲げる不動産の種別及び類型並びに賃料の種類に応じた鑑定評価の手法等を活用する必要がある。",種別及び類型|賃料の種類,種別及び類型|賃料の種類|鑑定評価の手法,種別及び類型|賃料の種類|鑑定評価の手法等,各論|重要,1
kakuron_003,各論,更地,"更地の鑑定評価額は、更地並びに配分法が適用できる場合における建物及びその敷地の取引事例に基づく比準価格並びに土地残余法による収益価格を関連づけて決定するものとする。",比準価格|土地残余法による収益価格,配分法|比準価格|土地残余法による収益価格,配分法|比準価格|土地残余法|収益価格,各論|更地|重要,1
kakuron_004,各論,更地,"再調達原価が把握できる場合には、積算価格をも関連づけて決定すべきである。",積算価格,再調達原価|積算価格,再調達原価|積算価格|関連づけて決定,各論|更地|重要,1
kakuron_005,各論,更地,"当該更地の面積が近隣地域の標準的な土地の面積に比べて大きい場合等においては、さらに次に掲げる価格を比較考量して決定するものとする（この手法を開発法という。）。",開発法,近隣地域の標準的な土地の面積に比べて大きい|開発法,近隣地域|標準的|開発法,各論|更地|開発法|重要,1
kakuron_006,各論,更地（開発法）,"（１）一体利用をすることが合理的と認められるときは、価格時点において、当該更地に最有効使用の建物が建築されることを想定し",一体利用,最有効使用の建物が建築されることを想定,一体利用|最有効使用|建築を想定,各論|更地|開発法|重要,2
kakuron_007,各論,更地（開発法）,"販売総額から通常の建物建築費相当額及び発注者が直接負担すべき通常の付帯費用を控除して得た価格",販売総額,建物建築費相当額|付帯費用,販売総額|建物建築費相当額|付帯費用|控除,各論|更地|開発法|重要,2
kakuron_008,各論,更地（開発法）,"（２）分割利用をすることが合理的と認められるときは、価格時点において、当該更地を区画割りして、標準的な宅地とすることを想定し",分割利用,区画割り|標準的な宅地を想定,分割利用|区画割り|標準的な宅地,各論|更地|開発法|重要,2
kakuron_009,各論,更地（開発法）,"販売総額から通常の造成費相当額及び発注者が直接負担すべき通常の付帯費用を控除して得た価格",造成費相当額,販売総額|造成費相当額|付帯費用,販売総額|造成費相当額|付帯費用|控除,各論|更地|開発法|重要,2
kakuron_010,各論,更地,"なお、配分法及び土地残余法を適用する場合における取引事例及び収益事例は、敷地が最有効使用の状態にあるものを採用すべきである。",最有効使用の状態,敷地が最有効使用の状態|採用すべき,敷地が最有効使用の状態にあるものを採用,各論|更地|重要,2
kakuron_011,各論,建付地,"建付地は、建物等と結合して有機的にその効用を発揮しているため、建物等と密接な関連を持つものであり",有機的にその効用を発揮,建物等と結合|有機的にその効用を発揮,建物等と結合|有機的|効用を発揮|密接な関連,各論|建付地|重要,1
