id,category,section,text,level1,level2,level3,tags,difficulty
souron_v2_001,総論,不動産の定義,"不動産は、通常、土地とその定着物をいう。",定着物,土地|定着物,土地|定着物,不動産の定義|総論1章,1
souron_v2_002,総論,不動産の意義,"土地はその持つ有用性の故にすべての国民の生活と活動とに欠くことのできない基盤である。",有用性,有用性|基盤,有用性|国民の生活|基盤,総論1章|不動産の意義,1
souron_v2_003,総論,不動産のあり方,"この不動産のあり方は、自然的、社会的、経済的及び行政的な要因の相互作用によって決定されるとともに経済価値の本質を決定づけている。",経済価値,自然的|社会的|経済的|行政的,自然的|社会的|経済的|行政的|相互作用|経済価値,総論1章|経済価値,1
souron_v2_004,総論,不動産のあり方,"一方、この不動産のあり方は、その不動産の経済価値を具体的に表している価格を選択の主要な指標として決定されている。",選択の主要な指標,経済価値|選択の主要な指標,経済価値|選択|指標,総論1章|不動産のあり方,2
souron_v2_005,総論,不動産の価格,"不動産の価格は、一般に、（１）その不動産に対してわれわれが認める効用（２）その不動産の相対的稀少性（３）その不動産に対する有効需要の三者の相関結合によって生ずる不動産の経済価値を、貨幣額をもって表示したものである。",経済価値,効用|相対的稀少性|有効需要,効用|相対的稀少性|有効需要|相関結合|経済価値|貨幣額,総論1章|不動産の価格|重要,1
souron_v2_006,総論,不動産の価格,"そして、この不動産の経済価値は、基本的にはこれら三者を動かす自然的、社会的、経済的及び行政的な要因の相互作用によって決定される。",相互作用,自然的|社会的|経済的|行政的,自然的|社会的|経済的|行政的|相互作用,総論1章|経済価値,1
souron_v2_007,総論,不動産の価格,"不動産の価格とこれらの要因との関係は、不動産の価格が、これらの要因の影響の下にあると同時に選択指標としてこれらの要因に影響を与えるという二面性を持つものである。",二面性,選択指標|二面性,選択指標|二面性,総論1章|不動産の価格,2
souron_v2_008,総論,土地の特性（自然的），"（１）自然的特性として、地理的位置の固定性、不動性（非移動性）、永続性（不変性）、不増性、個別性（非同質性、非代替性）等を有し、固定的であって硬直的である。",固定性,固定性|不動性|永続性|不増性|個別性,地理的位置の固定性|不動性|永続性|不増性|個別性|硬直的,総論1章|土地の特性|重要,1
souron_v2_009,総論,土地の特性（人文的），"（２）人文的特性として、用途の多様性（用途の競合、転換及び併存の可能性）、併合及び分割の可能性、社会的及び経済的位置の可変性等を有し、可変的であって伸縮的である。",用途の多様性,用途の多様性|可変性|伸縮的,用途の多様性|併合|分割|可変性|伸縮的,総論1章|土地の特性|重要,1
souron_v2_010,総論,不動産の地域性,"不動産は、また、その自然的条件及び人文的条件の全部又は一部を共通にすることによって、他の不動産とともにある地域を構成し、その地域の構成分子としてその地域との間に、依存、補完等の関係に及びその地域内の他の構成分子である不動産との間に協働、代替、競争等の関係にたち、これらの関係を通じてその社会的及び経済的な有用性を発揮するものである（不動産の地域性）。",地域性,依存|補完|協働|代替|競争,地域性|構成分子|依存|補完|協働|代替|競争,総論1章|不動産の地域性|重要,2
souron_v2_011,総論,地域の特性,"このような地域には、その規模、構成の内容、機能等に従って各種のものが認められるが、そのいずれもが、不動産の集合という意味において、個別の不動産の場合と同様に、特定の自然的条件及び人文的条件との関係を前提とする利用のあり方の同一性を基準として理解されるものであって、他の地域と区別されるべき特性をそれぞれ有するとともに、他の地域との間に相互関係にたち、この相互関係を通じて、その社会的及び経済的位置を占めるものである（地域の特性）。",地域の特性,同一性|相互関係|地域の特性,利用のあり方の同一性|相互関係|地域の特性,総論1章|地域の特性,2
