"slug","category","chapter","question_type","title","answer","explanation","difficulty"
"souron-1-001","souron","1","fill_blank","不動産のあり方とは？","不動産のあり方は、自然的、社会的、経済的及び行政的な要因の相互作用によって決定されるとともに経済価値の本質を決定づけている。一方、この不動産のあり方は、その不動産の経済価値を具体的に表している価格を選択の主要な指標として決定されている。","","2"
"souron-1-002","souron","1","fill_blank","不動産の価格とは？","不動産の価格は、一般に、
（１）その不動産に対してわれわれが認める効用
（２）その不動産の相対的稀少性
（３）その不動産に対する有効需要
の三者の相関結合によって生ずる不動産の経済価値を、貨幣額をもって表示したものである。","","4"
"souron-1-003","souron","1","fill_blank","不動産の経済価値はどのように決定されるか？","この不動産の経済価値は、基本的には（１）その不動産に対してわれわれが認める効用（２）その不動産の相対的稀少性（３）その不動産に対する有効需要の【「これら」でも可】三者を動かす自然的、社会的、経済的及び行政的な要因の相互作用によって決定される。不動産の価格とこれらの要因との関係は、不動産の価格が、これらの要因の影響の下にあると同時に選択指標としてこれらの要因に影響を与えるという二面性を持つものである。","","4"
"souron-1-004","souron","1","fill_blank","土地は他の一般の諸財と異なってどのような特性を持っているか？","不動産が国民の生活と活動に組み込まれどのように貢献しているかは具体的な価格として現れるものであるが、土地は他の一般の諸財と異なって次のような特性を持っている。
（１）自然的特性として、地理的位置の固定性、不動性（非移動性）、永続性（不変性）、不増性、個別性（非同質性、非代替性）等を有し、固定的であって硬直的である。
（２）人文的特性として、用途の多様性（用途の競合、転換及び併存の可能性）、併合及び分割の可能性、社会的及び経済的位置の可変性等を有し、可変的であって伸縮的である。","","4"
"souron-1-005","souron","1","fill_blank","不動産の地域性とは？","不動産は、また、その自然的条件及び人文的条件の全部又は一部を共通にすることによって、他の不動産とともにある地域を構成し、その地域の構成分子としてその地域との間に、依存、補完等の関係に及びその地域内の他の構成分子である不動産との間に協働、代替、競争等の関係にたち、これらの関係を通じてその社会的及び経済的な有用性を発揮するものである。","","4"
"souron-1-006","souron","1","fill_blank","不動産の地域の特性とは？","このような地域には、その規模、構成の内容、機能等に従って各種のものが認められるが、そのいずれもが、不動産の集合という意味において、個別の不動産の場合と同様に、特定の自然的条件及び人文的条件との関係を前提とする利用のあり方の同一性を基準として理解されるものであって、他の地域と区別されるべき特性をそれぞれ有するとともに、他の地域との間に相互関係にたち、この相互関係を通じて、その社会的及び経済的位置を占めるものである。","","4"
"souron-1-007","souron","1","fill_blank","不動産の経済価値はどのように表示され、それらの間にどのような関係が認められるか？","不動産の経済価値は、一般に、交換の対価である価格として表示されるとともに、その用益の対価である賃料として表示される。そして、この価格と賃料との間には、いわゆる元本と果実との間に認められる相関関係を認めることができる。","","4"
"souron-1-008","souron","1","fill_blank","不動産の価格及び権利利益について述べよ","不動産の価格（又は賃料）は、その不動産に関する所有権、賃借権等の権利の対価又は経済的利益の対価であり、また、二つ以上の権利利益が同一の不動産の上に存する場合には、それぞれの権利利益について、その価格（又は賃料）が形成され得る。","","4"
"souron-1-009","souron","1","fill_blank","不動産の属する地域について変化の過程を踏まえて述べよ","不動産の属する地域は固定的なものではなくて、常に拡大縮小、集中拡散、発展衰退等の変化の過程にあるものであるから、不動産の利用形態が最適なものであるかどうか、仮に現在最適なものであっても、時の経過に伴ってこれを持続できるかどうか、これらは常に検討されなければならない。したがって、不動産の価格（又は賃料）は、通常、過去と将来とにわたる長期的な考慮の下に形成される。今日の価格（又は賃料）は、昨日の展開であり、明日を反映するものであって常に変化の過程にあるものである。","","4"
"souron-1-010","souron","1","fill_blank","不動産の現実の取引価格等について述べよ","不動産の現実の取引価格等は、取引等の必要に応じて個別的に形成されるのが通常であり、しかもそれは個別的な事情に左右されがちのものであって、このような取引価格等から不動産の適正な価格を見出すことは一般の人には非常に困難である。したがって、不動産の適正な価格については専門家としての不動産鑑定士の鑑定評価活動が必要となるものである。","","4"
"souron-1-011","souron","1","fill_blank","総論1章における不動産の鑑定評価の定義を6点述べよ","不動産の鑑定評価は、その対象である不動産の経済価値を判定し、これを貨幣額をもって表示することである。それは、この社会における一連の価格秩序の中で、その不動産の価格及び賃料がどのような所に位するかを指摘することであって、
（１）鑑定評価の対象となる不動産の的確な認識の上に、
（２）必要とする関連資料を十分に収集して、これを整理し、
（３）不動産の価格を形成する要因及び不動産の価格に関する諸原則についての十分な理解のもとに、
（４）鑑定評価の手法を駆使して、その間に、
（５）既に収集し、整理されている関連諸資料を具体的に分析して、対象不動産に及ぼす自然的、社会的、経済的及び行政的な要因の影響を判断し、
（６）対象不動産の経済価値に関する最終判断に到達し、これを貨幣額をもって表示するものである。","","4"
"souron-1-012","souron","1","fill_blank","不動産鑑定士の遵守事項を5点述べよ","不動産鑑定士は、さらに次に述べる事項を遵守して資質の向上に努めなければならない。
（１）高度な知識と豊富な経験と的確な判断力とが有機的に統一されて、初めて的確な鑑定評価が可能となるのであるから、不断の勉強と研鑚とによってこれを体得し、鑑定評価の進歩改善に努力すること。
（２）依頼者に対して鑑定評価の結果を分かり易く誠実に説明を行い得るようにするとともに、社会一般に対して、実践活動をもって、不動産の鑑定評価及びその制度に関する理解を深めることにより、不動産の鑑定評価に対する信頼を高めるよう努めること。
（３）不動産の鑑定評価に当たっては、自己又は関係人の利害の有無その他いかなる理由にかかわらず、公平妥当な態度を保持すること。
（４）不動産の鑑定評価に当たっては、専門職業家としての注意を払わなければならないこと。
（５）自己の能力の限度を超えていると思われる不動産の鑑定評価を引き受け、又は縁故若しくは特別の利害関係を有する場合等、公平な鑑定評価を害する恐れのあるときは、原則として不動産の鑑定評価を引き受けてはならないこと。","","2"
